CVE-2010-2647,43488
CVE-2010-2646,42575
CVE-2010-2646,42980
CVE-2010-2645,42396
CVE-2010-2302,44740
CVE-2010-2301,43902
CVE-2010-2300,43315
CVE-2010-2299,43307
CVE-2010-2298,43304
CVE-2010-2297,42723
CVE-2010-2296,39985
CVE-2010-2295,15766
CVE-2010-2110,42228
CVE-2010-2109,41469
CVE-2010-2108,39740
CVE-2010-2107,30079
CVE-2010-2106,16535
CVE-2010-2105,7713
CVE-2010-1825,51252
CVE-2010-1824,50712
CVE-2010-1823,50250
CVE-2010-1822,55114
CVE-2010-1773,44955
CVE-2010-1772,44868
CVE-2010-1770,43487
CVE-2010-1767,39698
CVE-2010-1665,42294
CVE-2010-1664,40487
CVE-2010-1663,40445
CVE-2010-1506,40635
CVE-2010-1505,40575
CVE-2010-1504,40138
CVE-2010-1503,40137
CVE-2010-1502,40136
CVE-2010-1500,39443
CVE-2010-1237,37061
CVE-2010-1236,37383
CVE-2010-1235,37007
CVE-2010-1234,36772
CVE-2010-1233,35724
CVE-2010-1232,34978
CVE-2010-1231,33572
CVE-2010-1230,30801
CVE-2010-1230,33445
CVE-2010-1229,31880
CVE-2010-1228,28804
CVE-2010-0664,31517
CVE-2010-0663,31307
CVE-2010-0662,31307
CVE-2010-0661,30660
CVE-2010-0660,29920
CVE-2010-0659,28566
CVE-2010-0658,24071
CVE-2010-0658,24646
CVE-2010-0658,8864 
CVE-2010-0657,23693
CVE-2010-0656,20450
CVE-2010-0655,12523
CVE-2010-0651,9877
CVE-2010-0650,3275
CVE-2010-0649,32915
CVE-2010-0647,31692
CVE-2010-0646,31009
CVE-2010-0645,31009
CVE-2010-0644,29914
CVE-2010-0643,12303
CVE-2010-0556,32718
CVE-2010-0315,32309
CVE-2009-3934,22205
CVE-2009-3932,26179
CVE-2009-3931,23979
CVE-2009-3264,21338
CVE-2009-3263,21238
CVE-2009-2973,18725
CVE-2009-2935,18639
CVE-2009-2555,14719
CVE-2009-2121,14508
CVE-2009-2071,7338
CVE-2009-2071,8473
CVE-2009-2060,7338
CVE-2009-2060,8473
CVE-2009-1442,10736
CVE-2009-1441,10869
CVE-2009-1414,9860
CVE-2009-1413,9860
CVE-2009-1412,9860
CVE-2008-6998,1362175
CVE-2008-6996,1355855
CVE-2008-6995,122
CVE-2008-6994,1414
